Tool_name,Description,Location
Gradient Centrifugation,"Gradient centrifugation involves the use of density gradients to separate particles or components based on their buoyant densities. A density gradient medium, such as sucrose or cesium chloride, is prepared with a gradient of increasing or decreasing density. The sample is layered onto the top of the gradient and centrifuged. During centrifugation, particles or components migrate through the density gradient until they reach their buoyant density and form distinct bands or fractions. Gradient centrifugation is particularly useful for separating and purifying subcellular organelles, viruses, or nucleic acids.",https://www.beyonddiscovery.org/liquid-chromatography/images/7620_29_18-separation-mixtures-based-density.jpg 
HPLC (High-Performance Liquid Chromatography)," HPLC is a versatile chromatographic technique that employs high-pressure pumps to enhance the separation efficiency and speed. It can incorporate various chromatographic modes, including reversed phase, ion exchange, size exclusion, and affinity chromatography. HPLC is widely used for analytical and preparative purposes in bioprocessing, pharmaceutical analysis, and quality control.",https://chembam.files.wordpress.com/2017/02/hplc.png 
Hydrophobic Interaction Chromatography (HIC),"Hydrophobic interaction chromatography separates molecules based on their hydrophobicity or surface hydrophobic patches. The stationary phase contains hydrophobic groups, such as alkyl chains, which interact with hydrophobic regions of the biomolecules. Elution is achieved by decreasing the hydrophobic interaction, often by reducing the salt concentration or altering the pH. HIC is commonly used for the separation and purification of proteins, especially those with exposed hydrophobic patches",https://thechemistrynotes.com/wp-content/uploads/2023/02/Hydrophobic-interaction-chromatography-HIC.jpg 
Ion Exchange Chromatography,"Ion exchange chromatography separates molecules based on their charge differences. It utilizes a stationary phase containing charged groups that interact with oppositely charged molecules. An ion exchange column can be either anion exchange or cation exchange, depending on whether the stationary phase binds negatively or positively charged molecules, respectively. The bound molecules can be eluted by altering the pH or ionic strength of the mobile phase.  Ion exchange chromatography is commonly used for the separation and purification of proteins, nucleic acids, and other charged biomolecules",https://microbenotes.com/wp-content/uploads/2018/11/Ion-Exchange-Chromatography.jpg 
Isopycnic Centrifugation (Equilibrium Density Gradient Centrifugation),"Isopycnic centrifugation, also known as equilibrium density gradient centrifugation, is used to separate particles or components solely based on their density. A density gradient medium, such as cesium chloride or sucrose, is prepared with a continuous gradient of increasing density. The sample is layered onto the top of the gradient and centrifuged until equilibrium is reached. During centrifugation, particles migrate through the gradient until they reach a position where their density matches the surrounding density of the gradient. At equilibrium, particles float or sink in the density gradient, forming distinct bands or fractions. Isopycnic centrifugation is particularly useful for separating molecules with similar sizes but different densities, such as nucleic acids or lipoproteins.",https://ars.els-cdn.com/content/image/3-s2.0-B978012802823000002X-f02-03-9780128028230.jpg 
Mechanical cell disruption,"Mechanical disruption methods utilize physical forces to disrupt the cell walls and membranes. Homogenization is a widely used mechanical method where cells are mechanically sheared or disrupted using high-speed blades or rotating homogenizers. This process effectively breaks down the cell structure and releases the intracellular components. Sonication is another mechanical disruption technique that utilizes high-frequency sound waves. The sound waves create intense vibrations that disrupt the cells, leading to the release of their contents. Bead milling involves agitating cells in the presence of small beads, which mechanically rupture the cell walls and facilitate the extraction of intracellular components. High-pressure homogenization subjects cells to high-pressure forces, typically through a narrow aperture, which causes the cells to burst and release their contents.",https://www.mdpi.com/fermentation/fermentation-07-00036/article_deploy/html/images/fermentation-07-00036-g001.png 
Media Formulation," Components of growth media typically include carbon sources (e.g., glucose, glycerol), nitrogen sources (e.g., ammonium salts, amino acids), minerals, vitamins, and trace elements. Optimization of growth media involves determining the optimal concentration and ratio of each component to achieve desired growth and productivity.",https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs43014-022-00098-w/MediaObjects/43014_2022_98_Figa_HTML.png 
Membrane Filtration," Membrane filters can be made of various materials, including cellulose, polymeric materials, or ceramic materials, depending on the specific application requirements. The pore size of the membrane determines the size of particles that can be effectively retained. Common types of membrane filtration include microfiltration (MF), ultrafiltration (UF), nanofiltration (NF), and reverse osmosis (RO), each with different pore size ranges and separation capabilities. Microfiltration is effective for removing larger particles and cells, while ultrafiltration and nanofiltration can separate smaller particles, macromolecules, and proteins. Reverse osmosis is employed for desalination and concentration of solutes by applying pressure to overcome osmotic pressure.",https://i0.wp.com/microbeonline.com/wp-content/uploads/2019/09/Membrane-filtration-technique.jpg?fit=678%2C876&ssl=1 
Metabolic Engineering,"Metabolic engineering involves manipulating the metabolic pathways of microorganisms to enhance the production of desired products or redirect metabolic flux for improved yields.This technique often includes altering the expression or activity of enzymes involved in the target product's biosynthetic pathway. Strategies may include increasing the availability of key precursors, knocking out competing pathways, or introducing novel pathways to maximize product formation.",https://filelist.tudelft.nl/TNW/Afdelingen/Biotechnology/Departments/Industrial%20Microbiology/Jean-Marc%20Daran/DBTL%20751x640.jpg 
Microwave drying,"Microwave drying utilizes microwave energy to generate heat within the material, promoting the evaporation of moisture. Microwave drying offers rapid and uniform drying and is suitable for drying materials with high water content. It is commonly used in food processing, pharmaceuticals, and agriculture for quick and efficient drying",https://ars.els-cdn.com/content/image/3-s2.0-B9780081005965210093-f21009-10-9780081005965.jpg 
Nucleation,"Nucleation is the initial step in the crystallization process, where solute molecules come together to form a stable crystal nucleus. Nucleation can occur through two mechanisms: primary nucleation and secondary nucleation. Primary nucleation involves the spontaneous formation of nuclei from the supersaturated solution, while secondary nucleation occurs when existing crystals act as templates for the formation of new crystals. Nucleation can be influenced by factors such as temperature, solute concentration, impurities, and the presence of nucleating agents.
",https://www.mdpi.com/crystals/crystals-12-00980/article_deploy/html/images/crystals-12-00980-g004.png 
Oven drying,Oven drying involves placing the material in an oven and applying heat to remove moisture. This method is simple and widely accessible but requires careful temperature control to avoid degradation or overheating of the material. Oven drying is commonly used for bulk drying of samples or materials with low moisture content,https://ikrorwxhqjrilj5q.ldycdn.com/cloud/lmBprKkmljSRrjplojjqio/01_bov_t30c_main.jpg 
Pre-filtration,"Pre-filtration steps utilize filters with larger pore sizes to remove larger particles and debris, protecting downstream filters from premature fouling.",https://www.mdimembrane.com/blog/wp-content/uploads/2018/07/ClariPro-GK-1-300x209.jpg 
Protein precipitation,"Protein precipitation is a specific application of precipitation techniques that aims to selectively precipitate proteins from a complex mixture. Various methods are employed for protein precipitation based on the specific properties of the proteins. Some common techniques include altering the pH of the solution, adding organic solvents, or using specific protein precipitants. For example, adjusting the pH to the isoelectric point of a protein can cause it to undergo precipitation due to the loss of net charge. Organic solvents such as trichloroacetic acid (TCA) or polyethylene glycol (PEG) can be used to selectively precipitate proteins based on their solubility in these solvents.",https://www.norlab.com/sites/default/files/Sample%20preparation%20using%20ISOLUTE%20PPT%2B.jpg 
Radiation sterilization,"Radiation sterilization utilizes ionizing radiation, such as gamma rays or electron beams, to achieve sterilization. These forms of radiation have sufficient energy to penetrate materials and damage the DNA of microorganisms, rendering them unable to replicate. Radiation sterilization is commonly used for the sterilization of disposable items, pharmaceuticals, and medical devices. It offers effective sterilization without the use of heat or chemicals. However, it requires specialized equipment and expertise to ensure appropriate dosages and proper shielding to protect operators and the surrounding environment",https://ars.els-cdn.com/content/image/3-s2.0-B9780128144213000142-f14-08-9780128144213.jpg 
Reverse Phase Chromatography (RPC),"Reverse phase chromatography is a type of liquid chromatography that separates molecules based on their hydrophobicity. The stationary phase is nonpolar, and the mobile phase is polar. Hydrophobic molecules interact more strongly with the stationary phase and elute later, while hydrophilic molecules elute earlier. Reverse phase chromatography is widely used in analytical and preparative applications for the separation and purification of hydrophobic compounds, such as lipids, peptides, and pharmaceuticals.",https://ars.els-cdn.com/content/image/3-s2.0-B9780444640468002755-f00275-04-9780444640468.jpg 
Salting out,"It involves the addition of salts, such as ammonium sulfate or sodium chloride, to the solution containing the biomolecules. The salts reduce the solubility of the biomolecules by disrupting their hydration shell and weakening their electrostatic interactions. As a result, the biomolecules aggregate and precipitate out of the solution. The choice of the salt concentration depends on the desired selectivity and precipitation efficiency.",https://ars.els-cdn.com/content/image/3-s2.0-B9780128197639000052-f05-09-9780128197639.jpg 
Screening and Isolation,"Screening involves the identification and selection of microorganisms from natural sources that possess the desired characteristics for a particular bioprocess. Environmental samples, such as soil, water, or plant material, can be screened for microorganisms that produce the desired product or exhibit specific metabolic capabilities. Screening techniques may include culture-based methods, molecular assays, or high-throughput screening approaches.",https://www.learninsta.com/wp-content/uploads/2021/04/Screening-of-Industrially-Important-Microorganism-img-1.png
Seed Crysrtalizastion,"Seed crystallization involves the addition of pre-formed crystals (seeds) into the supersaturated solution to induce crystal growth. Seeds act as templates for crystal growth, accelerating the process and ensuring the formation of crystals with desired properties. Seed crystallization allows for better control over crystal size, shape, and purity. The seed crystals can be generated from the same compound or similar compounds, and their introduction helps in obtaining a uniform and reproducible crystal product.",https://bitesizebio.com/wp-content/uploads/2022/01/Figure-4-web.jpg 
Solvent precipitation,"In this method, the solvent conditions are altered to induce precipitation. Organic solvents such as ethanol or acetone are commonly used. By adding these solvents to the solution, the polarity and composition of the solvent are changed, leading to a decrease in the solubility of the biomolecules. As a result, the biomolecules undergo precipitation and can be separated from the solvent. Care should be taken to optimize the solvent concentration and conditions to maximize precipitation efficiency while minimizing potential denaturation or damage to the biomolecules.",https://ars.els-cdn.com/content/image/1-s2.0-S0065242319301052-f03-01-9780128211670.jpg 
Spray drying,"Spray drying is a rapid drying technique that involves atomizing a liquid or slurry into small droplets, which are then dried in a hot airstream. The droplets quickly lose moisture, resulting in the formation of dry particles. Spray drying is widely used in the food, pharmaceutical, and chemical industries to produce powders, granules, and microencapsulated products. It is suitable for heat-sensitive materials and enables the production of free-flowing powders with controlled particle size and morphology.",https://www.freund-vector.com/wp-content/uploads/2021/03/Spray-Drying-Diagram_Open-Loop-VSD200-1-1024x613.png 
Sterile Filtration,"Sterile filtration is a critical application in bioprocessing to remove microorganisms and ensure the sterility of the final product. Membrane filters with pore sizes of 0.2 ?m or smaller are commonly used for sterile filtration. Sterile filtration can be applied to both liquids and gases, preventing microbial contamination during downstream processing or packaging.",https://www.researchgate.net/publication/350618772/figure/fig1/AS:1009463242797056@1617686200185/Schematic-representation-of-the-sterile-filtration-method-Contaminating-agents-such-as.ppm  
Tangential Flow Filtration (TFF),"Tangential flow filtration, also known as crossflow filtration, is a technique that allows continuous separation and concentration of particles and solutes. TFF utilizes a porous membrane through which the feed solution flows tangentially, creating a crossflow that sweeps away retained particles from the membrane surface. The retained particles concentrate on the membrane surface while the permeate, containing smaller molecules, passes through the membrane. TFF is particularly useful for concentration and purification of large volumes of solutions while minimizing membrane fouling.",https://i0.wp.com/www.rocker.com.tw/wp-content/uploads/2022/11/%E5%AE%98%E7%B6%B2%E6%87%89%E7%94%A8%E5%9C%96%E7%A4%BA-TFF_01_En.jpg 
Ultracentrifugation,"Ultracentrifugation is a technique that involves high-speed centrifugation to achieve the separation of particles or components based on their size, shape, and density. Ultracentrifuges operate at very high speeds, typically in the range of 50,000 to 150,000 revolutions per minute (rpm). There are two main types of ultracentrifugation: 1. Analytical Ultracentrifugation (AUC): AUC is used to analyze the sedimentation behavior of particles in a sample, providing information about their size, shape, and molecular weight. 2. Preparative Ultracentrifugation: Preparative ultracentrifugation is employed for large-scale separation and purification of biological components, such as proteins, subcellular organelles, or viruses. Ultracentrifugation can generate very high centrifugal forces, allowing the separation of particles with small density differences.",https://www.mun.ca/biology/scarr/Analytical_ultracentrifugation.jpg 
Vaccum drying,"Vacuum drying involves applying reduced pressure to facilitate moisture removal. By reducing the pressure, the boiling point of water is lowered, allowing it to evaporate at lower temperatures. Vacuum drying helps to minimize heat exposure, making it suitable for heat-sensitive materials. It is commonly used in pharmaceutical and food industries for preserving the quality of sensitive products.",https://www.satovac.co.jp/en/img/seminar/semi_zu03.gif 
